FILENAME	HWXX-6516DS1-VTM_Port 1 +45_02DT_1785
MAKE	COMMSCOPE
FREQUENCY	1785
H_WIDTH	66
V_WIDTH	6.7
FRONT_TO_BACK	27
GAIN	14.596 dBd
TILT	ELECTRICAL
HORIZONTAL 360
22.00	18.81
23.00	21.98
24.00	27.60
25.00	35.40
26.00	29.65
27.00	25.69
28.00	24.17
29.00	23.95
30.00	24.45
31.00	25.05
32.00	25.12
33.00	24.63
34.00	24.04
35.00	23.80
36.00	24.05
37.00	24.79
38.00	25.80
39.00	26.67
40.00	26.92
41.00	26.57
42.00	26.08
43.00	25.73
44.00	25.50
45.00	25.08
46.00	24.12
47.00	22.64
48.00	20.96
49.00	19.38
50.00	18.04
51.00	16.97
52.00	16.17
53.00	15.61
54.00	15.27
55.00	15.12
56.00	15.13
57.00	15.30
58.00	15.60
59.00	16.03
60.00	16.57
61.00	17.23
62.00	18.00
63.00	18.86
64.00	19.81
65.00	20.84
66.00	21.91
67.00	23.02
68.00	24.10
69.00	25.12
70.00	26.03
71.00	26.83
72.00	27.54
73.00	28.22
74.00	28.92
75.00	29.71
76.00	30.66
77.00	31.80
78.00	33.18
79.00	34.76
80.00	36.51
81.00	38.29
82.00	39.87
83.00	40.86
84.00	41.08
85.00	40.79
86.00	40.40
87.00	40.03
88.00	39.44
89.00	38.36
90.00	37.01
91.00	35.79
92.00	34.99
93.00	34.74
94.00	35.06
95.00	35.91
96.00	37.22
97.00	38.82
98.00	40.43
99.00	41.49
100.00	41.32
101.00	40.04
102.00	38.50
103.00	37.26
104.00	36.53
105.00	36.32
106.00	36.53
107.00	37.03
108.00	37.63
109.00	38.12
110.00	38.34
111.00	38.29
112.00	38.11
113.00	38.01
114.00	38.17
115.00	38.69
116.00	39.59
117.00	40.85
118.00	42.40
119.00	44.24
120.00	46.45
121.00	48.61
122.00	49.01
123.00	47.38
124.00	45.88
125.00	45.42
126.00	46.09
127.00	47.56
128.00	48.38
129.00	46.99
130.00	44.77
131.00	42.96
132.00	41.71
133.00	40.89
134.00	40.43
135.00	40.33
136.00	40.61
137.00	41.21
138.00	41.99
139.00	42.71
140.00	43.22
141.00	43.50
142.00	43.44
143.00	42.81
144.00	41.66
145.00	40.44
146.00	39.53
147.00	39.14
148.00	39.23
149.00	39.61
150.00	39.87
151.00	39.63
152.00	38.96
153.00	38.34
154.00	38.13
155.00	38.52
156.00	39.58
157.00	41.23
158.00	43.27
159.00	45.27
160.00	47.15
161.00	49.63
162.00	52.48
163.00	49.88
164.00	45.13
165.00	42.04
166.00	40.46
167.00	40.25
168.00	41.59
169.00	45.54
170.00	56.22
171.00	46.52
172.00	39.69
173.00	36.12
174.00	34.05
175.00	32.99
176.00	32.74
177.00	33.25
178.00	34.55
179.00	36.66
180.00	39.06
181.00	39.59
182.00	37.45
183.00	35.06
184.00	33.34
185.00	32.29
186.00	31.80
187.00	31.80
188.00	32.22
189.00	33.01
190.00	34.07
191.00	35.23
192.00	36.23
193.00	36.79
194.00	36.79
195.00	36.33
196.00	35.64
197.00	34.94
198.00	34.41
199.00	34.16
200.00	34.25
201.00	34.67
202.00	35.38
203.00	36.28
204.00	37.23
205.00	38.02
206.00	38.39
207.00	38.19
208.00	37.60
209.00	36.95
210.00	36.55
211.00	36.51
212.00	36.86
213.00	37.47
214.00	38.07
215.00	38.33
216.00	38.08
217.00	37.50
218.00	36.94
219.00	36.57
220.00	36.48
221.00	36.61
222.00	36.86
223.00	37.15
224.00	37.43
225.00	37.78
226.00	38.30
227.00	39.03
228.00	39.95
229.00	40.92
230.00	41.74
231.00	42.17
232.00	42.03
233.00	41.33
234.00	40.32
235.00	39.25
236.00	38.29
237.00	37.52
238.00	36.98
239.00	36.69
240.00	36.64
241.00	36.79
242.00	37.05
243.00	37.28
244.00	37.30
245.00	37.04
246.00	36.52
247.00	35.88
248.00	35.26
249.00	34.73
250.00	34.37
251.00	34.14
252.00	34.00
253.00	33.90
254.00	33.83
255.00	33.81
256.00	33.86
257.00	34.03
258.00	34.33
259.00	34.76
260.00	35.29
261.00	35.88
262.00	36.43
263.00	36.81
264.00	36.85
265.00	36.49
266.00	35.83
267.00	35.07
268.00	34.43
269.00	34.02
270.00	33.89
271.00	34.00
272.00	34.25
273.00	34.50
274.00	34.61
275.00	34.48
276.00	34.07
277.00	33.47
278.00	32.81
279.00	32.19
280.00	31.70
281.00	31.37
282.00	31.19
283.00	31.07
284.00	30.87
285.00	30.39
286.00	29.50
287.00	28.25
288.00	26.87
289.00	25.54
290.00	24.35
291.00	23.32
292.00	22.41
293.00	21.60
294.00	20.83
295.00	20.10
296.00	19.41
297.00	18.78
298.00	18.21
299.00	17.74
300.00	17.40
301.00	17.21
302.00	17.19
303.00	17.39
304.00	17.81
305.00	18.51
306.00	19.54
307.00	21.02
308.00	23.17
309.00	26.47
310.00	32.49
311.00	47.53
312.00	32.44
313.00	26.96
314.00	24.14
315.00	22.54
316.00	21.72
317.00	21.47
318.00	21.67
319.00	22.24
320.00	23.12
321.00	24.23
322.00	25.36
323.00	26.00
324.00	25.53
325.00	24.01
326.00	22.16
327.00	20.51
328.00	19.25
329.00	18.46
330.00	18.19
331.00	18.47
332.00	19.38
333.00	20.98
334.00	23.29
335.00	25.80
336.00	26.79
337.00	25.84
338.00	24.85
339.00	24.81
340.00	25.94
341.00	28.18
342.00	30.48
343.00	30.35
344.00	29.11
345.00	29.20
346.00	30.73
347.00	29.38
348.00	24.44
349.00	20.65
350.00	18.48
351.00	17.88
352.00	19.26
353.00	24.64
354.00	25.98
355.00	15.39
356.00	9.80
357.00	6.15
358.00	3.60
359.00	1.83
